uuid;name;amount;who;text
ab074a13dee28fa2;Smartphone;52;Gesa;Früher brauchten die Menschen Karten, Kompass, Taschenlampen, etc.,<br>um sich zurecht zu finden, ein Radio, um sich informieren zu können,<br>Fotos und Kamera, um sich zu erinnern und Momente festzuhalten.<br>Heutzutage vereint das Handy all diese Funktionen in einem Gerät.
bce68b06afdac14d;Geld;47;Ann Luise;Geld, Geld, Geld. Geld regiert die Welt.<br>Doch damals, als die Manns geflohen sind, gab es viele verschiedene Währungen, die es schwierig machten, mit Geld zu bezahlen und den Wert zu vergleichen
4c435b5e89ebccb3;Essen;43;Ann Luise;Was würdest du eher mitnehmen: deine Lieblingssüßigkeit oder etwas Nahrhaftes?
960edabbf5e494b8;Kleidung;34;Ann Luise;Manch einer nimmt die Multifunktionsjacke und die Wanderschuhe mit,<br>andere retten ihre feine Garderobe<br>So auch Thomas Mann: Er nahm seine Pelze mit.
509d21d91f7094f5;Erinnerungen;13;Gesa/Yahlina;Ganz spontan:<br>Welches ist dein liebstes Erinnerungsstück?<br>Würdest du dafür etwas Wichtiges zurücklassen?
5769d4c469ba653a;Hygieneartikel;11;Gesa/Yahlina;Heutzutage verbieten die Schlepper den Flüchtlingen,<br>für uns selbstverständliches Gepäck auf die Boote mitzunehmen,<br>da es den Platz für eine weitere Person einnehmen würde.
d62d3ca7158a442d;Taschenmesser;11;Ann Luise;Ein wahres Allzweckgerät:<br>Man kann es als Messer, Säge, Korkenzieher, Flaschen-/Dosenöffner, Zahnstocher, Löffel, Gabel, Nagelfeile und Schere benutzen.
603572638582630c;Schlafsack;10;Ann Luise;Zelt, Schlafsack, Decken, Kissen - „ein provisorisches Haus“
98b71962fe2e3db2;Streichhölzer;7;Ann Luise;Feuer wärmt in kalten Nächten, die man unter freiem Himmel verbringen muss.
8ac10846ff929569;Reisepass;4;Ann Luise;1936 wird auch den letzten Mitgliedern der Familie Mann die deutsche Staatsbürgerschaft aberkannt.
d927ca5fe7f3eb3f;Kuscheltier;4;Yahlina;Was ist für dich Geborgenheit?
f8998ec2a73ab148;Waffe;3;Gesa;In der Fremde ist alles ungewohnt und angsteinflößend.<br>Bietet eine Waffe wirklich Sicherheit?
2e7a03b23a6f759b;Medizin;3;Gesa/Yahlina;Welche Medikamente brauchst du?<br>Was würde passieren, wenn du sie nicht nehmen würdest?
373321577515cb0a;Bücher;3;Yahlina;Ein Buch, zwei Bücher, drei Bücher...<br>Thomas Mann nahm viele seiner Bücher mit.<br>Egal wohin er ging, er ließ sich seinen Bücherschrank und seinen Schreibtisch immer hinterher schicken.
a08f70900d461cc9;Spiele;3;Yahlina;Ist dir Gesellschaft beim Spielen wichtig?
c954ddc024288aca;Notfallset;1;Ann Luise;Nicht alle Wege sind eben.<br>Leicht hätte sich auch Heinrich Mann verletzen können,<br>als er über die Pyrenäen fliehen musste.
43f18f2fb25c2566;Musik;1;Yahlina;Musik?<br>Nee, für Erika war das Theater das Wichtigste in ihrem Leben.<br>Auch ein Teil ihrer Theatergruppe „Die Pfeffermühle“ folgte ihr ins Exil.
acc3117cd2264bf3;Karte;1;Gesa/Yahlina;Mit Hilfe einer Karte würde man sich in einem fremden Land besser zurechtfinden.<br>Aber kann sie einem auch den Weg weisen, wenn man nicht so genau weiß,<br>wo das endgültige Ziel ist?
21cd478197c9638b;Taschenlampe;1;Gesa/Yahlina;Licht erhellt die dunklen Ecken und kann die Angst vertreiben.
ed896fad3d785489;Seil;1;Ann Luise;Ein Seil kann recht praktisch sein:<br>Um sich aneinander zu binden und sich nicht zu verlieren und<br>um Kleidung darüber zu hängen, damit sie trocknet.<br>Aber braucht man es wirklich, um die Flucht zu überleben?
